,bw_avg,bw_std
193,12500,1900.617592
194,12500,5453.869148
195,12500,7237.163525
196,12500,5228.303237
197,12500,8413.642729
198,12500,1866.372396
199,12500,1544.864324
200,12500,2703.820598
201,12500,2130.658334
202,12500,3523.275593
203,12500,2130.335542
204,12500,1876.500459
205,12500,580.8153845
206,12500,6449.585222
207,12500,7623.980919
208,12500,2168.589929
209,12500,1907.225386
210,12500,1569.081315
211,12500,6427.163414
212,12500,1681.521158
213,12500,598.1983022
214,12500,3087.907719
215,12500,1063.331414
216,12500,2855.277889
217,12500,3142.060167
218,12500,3320.899672
219,12500,1602.324065
220,12500,2104.927638
221,12500,1597.913814
222,12500,2344.375839
223,12500,3225.783073
224,12500,4667.934954
225,12500,3046.372828
226,12500,5025.709296
227,12500,9143.540799
228,12500,2727.938349
229,12500,6205.852119
230,12500,5182.927578
231,12500,3187.447717
232,12500,3209.051031
233,12500,2697.743277
234,12500,3965.404833
235,12500,2957.725775
236,12500,2291.194103
237,12500,2168.393161
238,12500,3939.920399
239,12500,1991.188815
240,12500,5266.798651
241,12500,4226.519411
242,12500,3752.502283
243,12500,2565.176005
244,12500,3462.762457
245,12500,1967.185071
246,12500,2807.054856
247,12500,4601.52443
248,12500,3110.873163
249,12500,3392.477298
250,12500,6429.871623
251,12500,4357.756804
252,12500,2995.663603
253,12500,5124.311555
254,12500,2898.312406
255,12500,1138.148362
256,12500,2014.613663
257,12500,1354.868913
258,12500,1596.205021
259,12500,5636.27307
260,12500,1226.148133
261,12500,5425.718539
262,12500,3501.234473
263,12500,2088.355982
264,12500,2625.879019
265,12500,1099.598026
266,12500,2130.769156
267,12500,2264.050316
268,12500,3421.304867
269,12500,2594.216632
270,12500,2706.769818
271,12500,2105.484739
272,12500,2354.907336
273,12500,2490.598728
274,12500,2671.83286
275,12500,1824.418564
276,12500,1702.736498
277,12500,3961.968651
278,12500,4126.344016
279,12500,2048.830442
280,12500,1962.665261
281,12500,2643.417308
282,12500,3938.362353
283,12500,3072.009932
284,12500,2213.208262
285,12500,2722.655138
286,12500,1203.193862
287,12500,1138.710928
288,12500,2434.78523
289,12500,2663.63137
